,train,val,test
0,blgm6152x,blgm6176,blgm6204
1,blgm6305,blgm6237,blgm6232
2,blgm6153,BLGM3124,blgm6180
3,blgm6251,BLGM3134,BLGM3058
4,blgm6116,BLGM3045,BLGM3046
5,blgm6208,BLGM3047,BLGM3063
6,blgm6123,BLGM3064,BLGM3080
7,blgm6177,BLGM3167,BLGM3032
8,blgm6307,BLGM3087,BGLM3109
9,blgm6288,BLGM3091,BLGM4010
10,blgm6125,BGLM3115,BLGM4017
11,blgm6235,BLGM3034,BLGM-4113
12,blgm6179,BLGM3099,blgm4058xx
13,blgm6122,BGLM3107,blgm4063XX
14,blgm6027,BGLM3111,BLGM-4196
15,blgm6315,blgm4025xx,BLGM5007
16,blgm6207,BLGM-4110-1,BLGM5089
17,blgm6114,BLGM-4111,BLGM5037
18,BLGM6111,blgm4045xx,BLGM5050
19,blgm6310,BLGM4146,BLGM5051-1
20,blgm6316,BLGM-4163,BLGM5052
21,blgm6361,BLGM-4184,BLGM1428
22,BLGM3119,blgm4064XX,BLGM1328
23,BLGM3125,BLGM-4193,BLGM1025
24,BLGM3131,BLGM-4198,BLGM-1798
25,BLGM3138,BLGM-4204,BLGM1030
26,BLGM3142,blgm4066xx,BLGM1691
27,BLGM3060,BLGM5001,BLGM-1990
28,BLGM3061,BLGM5058,BLGM1058
29,BLGM3048,BLGM1679,BLGM-2154
30,BLGM3049,BLGM1022,BLGM-1988
31,BLGM3148,BLGM2159,BLGM2044
32,BLGM3051,BLGM1673,BLGM1725
33,BLGM3052,BLGM2513,BLGM1715
34,BLGM3065,BLGM-1865B,BLGM1464
35,BLGM3113,BLGM1366,BLGM1562
36,BGLM3114,BLGM-2170,BLGM-2520A
37,BLGM3054,BLGM1051,BLGM1306
38,BLGM3056,BLGM-1534A,BGLM1020
39,BLGM3067,BLGM2176,BLGM1742
40,BLGM3069,BLGM-1778A,BLGM1111
41,BLGM3008,BLGM-1790,BLGM1618
42,BLGM3070,BLGM1417,BGLM1007
43,BLGM3074,BLGM1368,BLGM1336
44,BLGM3158,BLGM1568,BLGM2250
45,BLGM3013,BLGM2196,BLGM1129
46,BLGM3076,BLGM-2108,BLGM-2066
47,BLGM3170,BLGM-1770A,BLGM-2073
48,BLGM3010,BLGM1558,BGLM1011
49,BLGM3015,BLGM1107,BLGM1547
50,BLGM3016,BLGM1285,BLGM1351
51,BGLM3116,BLGM-1655A,BLGM1620
52,BLGM3018,blgm2230,BLGM1135
53,BLGM3081,BLGM1115,BLGM1494
54,BLGM3082,BLGM1121,BLGM2534
55,BLGM3019,BLGM1593,BLGM-1900
56,BLGM3084,BLGM1145,BLGM-1779
57,BLGM3020,BLGM2279,BLGM1476
58,BLGM3085,BLGM-2282,BLGM1561
59,BLGM3022,BLGM1639,BLGM1507
60,BLGM3025,BLGM-2005,BLGM1460
61,BLGM3090,BLGM1169,BLGM2275
62,BLGM3092,BLGM1174,BLGM1629
63,BLGM3003,BLGM1502,BLGM1623
64,BLGM3005,BLGM1202,BLGM1594
65,BLGM3006,BLGM2338mark,BLGM1483
66,BLGM3028,BLGM-1907B,BLGM2539
67,BLGM3095,BLGM1581,BLGM-1817
68,BLGM3096,BLGM1282,BLGM1642
69,BLGM3097,BLGM-1813A,BLGM1627
70,BLGM3172,BLGM1510,BLGM1171
71,BLGM3033,BLGM2363,BLGM1397
72,BLGM3035,BLGM2026,BLGM1384
73,BGLM3101,BLGM1688,BLGM2314
74,BLGM3104,BLGM-2146,BLGM-1972
75,BGLM3105,BGLM1016,BLGM2336
76,BLGM3040,BLGM1496,BLGM1521
77,BLGM3044,BLGM1608,BLGM2342
78,BLGM4001,BLGM1678,BLGM1308
79,BLGM4003,blgm2414,BLGM2354
80,BLGM4005,BLGM1371,BLGM1572
81,BLGM4007,BLGM1330,BLGM2367
82,BLGM4011,BLGM1258,BLGM2370
83,BLGM4012,BLGM44 ,BGLM1014
84,BLGM4013,BLGM135 ,BLGM-2072
85,BLGM4014,BLGM212 ,BLGM-2406
86,BLGM4015,BLGM204 ,BLGM1421
87,BLGM4016,BLGM138 ,BLGM1341
88,BLGM4018,BLGM268 ,BLGM1664
89,BLGM4021,BLGM111 ,BLGM245 
90,BLGM4022,BLGM303 ,BLGM45 
91,BLGM4023,BLGM157 ,BLGM115 
92,blgm4027xx,BLGM148 ,BLGM158 
93,blgm4028xx,BLGM113 ,BLGM156 
94,blgm4029xx,BLGM137 ,BLGM191 
95,blgm4030xx,BLGM196 ,BLGM264 
96,blgm4032xx,BLGM101 ,BLGM250 
97,blgm4033xx,BLGM239 ,BLGM260 
98,blgm4034xx,BLGM172 ,BLGM269 
99,blgm4037xx,blgm6061,BLGM226 
100,blgm4038xx,blgm6167,BLGM188 
101,blgm4039xx,blgm6017,blgm6156x
102,BLGM-4114,blgm6064,blgm6057
103,blgm4040xx,blgm6157x,blgm6357
