,train,val,test
0,blgm6314,BLGM6109,blgm6207
1,blgm6152x,blgm6034,blgm6045b
2,blgm6032,blgm6213,blgm6237
3,blgm6174,blgm6307,BLGM3123
4,blgm6233,blgm6043d,BLGM3058
5,blgm6234,blgm6024,BLGM3046
6,blgm6028,blgm6039c,BLGM3148
7,blgm6305,blgm6235,BLGM3052
8,blgm6124,blgm6309,BLGM3113
9,blgm6033,blgm6289,BLGM3069
10,blgm6175,BGLM3114,BLGM3008
11,blgm6215,BLGM3054,BGLM3116
12,blgm6241,BLGM3067,BLGM3018
13,blgm6153,BLGM3016,BLGM3025
14,blgm6216,BLGM3085,BLGM3005
15,blgm6251,BLGM3030,BLGM3006
16,blgm6116,BLGM3032,BLGM3172
17,blgm6208,BGLM3102,BLGM3035
18,blgm6298,BGLM3105,BGLM3101
19,blgm6123,BGLM3108,BGLM3112
20,blgm6176,BLGM4003,BLGM4012
21,blgm6290,BLGM4018,BLGM4013
22,blgm6217,blgm4028xx,BLGM-4113
23,blgm6240,blgm4030xx,blgm4058xx
24,blgm6029,blgm4032xx,BLGM-4148
25,blgm6244,BLGM-4111,BLGM-4161
26,blgm6177,blgm4054xx,BLGM4164-3
27,blgm6031,blgm4061xx,BLGM-4191
28,blgm6288,BLGM-4149,BLGM5007
29,blgm6245,BLGM-4151,BLGM5013-14
30,blgm6106,BLGM-4162,BLGM5026
31,blgm6358,BLGM-4163,BLGM5027-9
32,blgm6178,BLGM4173-1,BLGM5032
33,blgm6112,blgm4063XX,BLGM5037
34,blgm6125,BLGM-4192,BLGM5040
35,blgm6042b,BLGM-4193,BLGM5042
36,blgm6204,BLGM-4204,BLGM5050
37,blgm6232,BLGM-4228-1,BLGM5072
38,blgm6179,blgm4066xx,BLGM2156
39,blgm6107,BLGM5051-1,BLGM1466
40,blgm6238,BLGM5058,BLGM1673
41,blgm6374,BLGM5069-1,BLGM1427
42,blgm6122,BLGM1287,BLGM1352
43,blgm6027,BLGM1574,BLGM1713
44,blgm6315,BGLM1004,BLGM1366
45,blgm6110,BLGM1553,BLGM-2170
46,blgm6113,BLGM2165,BLGM-2178
47,blgm6363,BLGM1567,BLGM2048
48,blgm6362,BLGM-2141,BLGM1077
49,blgm6231,BLGM-1861,BLGM2193
50,blgm6180,BLGM1056,BLGM-2151
51,blgm6242,BLGM1058,BLGM1480
52,blgm6236,BLGM-2134,BLGM1725
53,blgm6246,BLGM2182,BLGM1389
54,blgm6376,BLGM2185,BLGM-1947A
55,blgm6114,BLGM1068,BLGM-2519
56,BLGM6111,BLGM1402,BLGM-1750A
57,blgm6310,BLGM1577,BLGM1434
58,blgm6316,BLGM1708,BLGM1338
59,blgm6361,BLGM2199,blgm2230
60,blgm6375,BLGM1538,BLGM1117
61,BLGM3119,BLGM1739,BLGM1702
62,BLGM3124,BLGM1422,BLGM1398
63,BLGM3125,BLGM-1770A,BLGM-2527
64,BLGM3131,BLGM1103,BLGM1391
65,BLGM3134,BLGM1475,BLGM2246
66,BLGM3138,BLGM1105,BLGM1661A
67,BLGM3142,BLGM-1756,BLGM1278
68,BLGM3060,BLGM-1858A,BLGM1351
69,BLGM3061,blgm2226,BLGM1620
70,BLGM3045,BLGM2524,BLGM1137
71,BLGM3062,BLGM1388,BLGM1353
72,BLGM3047,BLGM2237,BGLM1012
73,BLGM3048,BLGM1736,BLGM1144
74,BLGM3049,BLGM1512,BLGM1517
75,BLGM3063,BLGM-2243 (2),BLGM1460
76,BLGM3051,BLGM1301,BLGM1623
77,BLGM3064,BLGM-1613,BLGM1518
78,BLGM3065,BLGM1689,BLGM-2112
79,BLGM3055,BLGM2529,BLGM1675
80,BLGM3056,BLGM-2253,BLGM1165
81,BLGM3068,BLGM1129,BLGM1457
82,BLGM3156,BLGM-1870,BLGM1171
83,BLGM3009,BLGM2258,BLGM1701
84,BLGM3070,BLGM-2121,BLGM1397
85,BLGM3072,BLGM1537,BLGM1698
86,BLGM3074,BLGM1733,BLGM1542
87,BLGM3158,BLGM1433,BLGM1431
88,BLGM3013,BLGM1159,BLGM1560
89,BLGM3076,blgm2290,BLGM1369
90,BLGM3078,BLGM1704,BLGM2325
91,BLGM3170,BLGM-2293,BLGM1195
92,BLGM3010,BLGM1160,BLGM2062
93,BLGM3015,blgm2297,BLGM1610
94,BLGM3080,BLGM1167,BLGM1286
95,BLGM3167,BLGM-1853,BLGM1354
96,BLGM3081,BLGM1169,BLGM1614
97,BLGM3082,BLGM1399,BLGM1622
98,BLGM3019,BLGM-1533A,BLGM2354
99,BLGM3083,BLGM1174,BLGM1235
100,BLGM3084,BLGM1683,BLGM1323
101,BLGM3020,BLGM-1987,BLGM1493
102,BLGM3021,BLGM1719,BLGM1700
103,BLGM3022,BLGM2060,BLGM1644
104,BLGM3087,BLGM2334,BLGM-2392
105,BLGM3088,BLGM-1907B,BLGM1245
106,BLGM3090,BLGM-2348,BLGM2402
107,BLGM3091,BLGM1359,BGLM1019
108,BLGM3092,BLGM1684,BLGM1503
109,BLGM3003,BLGM1223,BLGM1331
110,BLGM3171,BLGM-1827,BLGM1437
111,BLGM3028,BLGM1707,BLGM1905
112,BLGM3095,BLGM-1854,BLGM1264
113,BLGM3096,BLGM-1802A,BLGM-2138
114,BLGM3097,BLGM1381,BLGM2052
115,BLGM3029,BLGM-1962,BLGM8
116,BLGM3031,BLGM1658,BLGM46 
117,BLGM3033,BLGM1325,BLGM12
118,BGLM3115,BLGM1238,BLGM154 
119,BLGM3034,BLGM1355,BLGM37 
120,BLGM3099,BLGM1669,BLGM149 
121,BLGM3104,BLGM1334,BLGM115 
122,BGLM3107,BLGM1550,BLGM92 
123,BLGM3038,BLGM245 ,BLGM191 
124,BLGM3039,BLGM289 ,BLGM247 
125,BLGM3040,BLGM219 ,BLGM113 
126,BLGM3041,BLGM152 ,BLGM262 
127,BLGM3042,BLGM118,BLGM86 
128,BLGM3044,BLGM148 ,BLGM196 
129,BGLM3109,BLGM272 ,BLGM179 
130,BGLM3111,BLGM58 ,BLGM153 
131,BLGM4001,BLGM188 ,BLGM265 
132,BLGM4002,BLGM159 ,BLGM239 
133,BLGM4103,blgm6072,BLGM69 
134,BLGM4005,blgm6048,BLGM318 
135,BLGM4105,blgm6259,BLGM266 
136,BLGM4006,blgm6255,BLGM288 
137,BLGM4007,blgm6211,blgm6155x
138,BLGM4008,blgm6084,blgm6151x
139,BLGM4009,blgm6036,blgm6120
140,BLGM4010,blgm6402,blgm6062
141,BLGM4106-2,blgm6018,blgm6065
142,BLGM4011,blgm6317,blgm6069
143,BLGM4014,blgm6397,BLGM6098
144,BLGM4015,blgm6304,BLGM6269
145,BLGM4016,blgm6299,blgm6025
146,BLGM4017,blgm6386,blgm6008a
147,BLGM4020,blgm6326,blgm6395
148,BLGM4021,BLGM6334,blgm6228
149,BLGM4022,blgm6427,blgm6183
150,BLGM4023,blgm6416,blgm6038d
151,blgm4024xx,blgm6190,blgm6457
152,blgm4025xx,BLGM6277,blgm6187
153,blgm4027xx,blgm6149x,blgm6188
154,BLGM-4110-1,blgm6380,blgm6421
155,blgm4029xx,blgm6282,blgm6193
156,blgm4033xx,blgm6385,blgm6220
157,blgm4034xx,blgm6330,blgm6313
158,blgm4037xx,blgm6221,blgm6227
159,blgm4038xx,blgm6285,blgm6405
160,blgm4039xx,blgm6420,blgm6293b
161,BLGM-4114,blgm6367,blgm6400
162,blgm4040xx,blgm6253,blgm6368
163,blgm4041xx,,
164,blgm4042xx,,
165,blgm4045xx,,
166,blgm4048xx,,
167,blgm4049xx,,
168,blgm4050xx,,
169,blgm4051xx,,
170,blgm4052xx,,
171,blgm4053xx,,
172,BLGM4116-1a,,
173,blgm4057xx,,
174,BLGM-4122,,
175,BLGM-4123,,
176,BLGM4124-4,,
177,BLGM-4127,,
178,BLGM4129,,
179,BLGM4130,,
180,BLGM-4131,,
181,BLGM-4133,,
182,BLGM4136,,
183,BLGM-4137,,
184,BLGM4140-1,,
185,BLGM4141,,
186,BLGM-4143,,
187,BLGM4146,,
188,BLGM4153,,
189,BLGM-4156-1,,
190,BLGM-4160,,
191,BLGM4166,,
192,BLGM-4168,,
193,BLGM4169,,
194,BLGM-4170,,
195,BLGM-4171,,
196,BLGM-4178,,
197,BLGM-4179,,
198,BLGM-4184,,
199,blgm4064XX,,
200,BLGM4188,,
201,BLGM-4189,,
202,BLGM-4190,,
203,BLGM4194-2,,
204,BLGM-4196,,
205,BLGM-4198,,
206,BLGM-4200,,
207,BLGM-4201,,
208,BLGM-4203-2,,
209,BLGM-4206,,
210,BLGM-4207,,
211,BLGM-4209,,
212,BLGM-4210-2,,
213,BLGM4211,,
214,BLGM4215,,
215,BLGM04217,,
216,blgm4065XX,,
217,BLGM-4218,,
218,BLGM4219-3,,
219,BLGM-4223-1,,
220,BLGM4224-2,,
221,BLGM-4225,,
222,BLGM-4227-1,,
223,BLGM-4232,,
224,BLGM4244,,
225,BLGM4246,,
226,BLGM5001,,
227,BLGM5077-3,,
228,BLGM5004,,
229,BLGM5005-2,,
230,BLGM5008-2,,
231,BLGM5011,,
232,BLGM5018-2,,
233,BLGM5019,,
234,BLGM5020,,
235,BLGM5021,,
236,BLGM5024,,
237,BLGM5028-2,,
238,BLGM5083,,
239,BLGM5030,,
240,BLGM5031,,
241,BLGM5034,,
242,BLGM5089,,
243,BLGM5036,,
244,BLGM5038,,
245,BLGM5044-3,,
246,BLGM5046,,
247,BLGM5047,,
248,BLGM5049-2,,
249,BLGM5052,,
250,BLGM5053,,
251,BLGM5055,,
252,BLGM5056-001,,
253,BLGM5057-1,,
254,BLGM5059-2,,
255,BLGM5060-2,,
256,BLGM5061,,
257,BLGM5062-8,,
258,BLGM5063,,
259,BLGM5091,,
260,BLGM1679,,
261,BLGM1428,,
262,BLGM1022,,
263,BLGM1328,,
264,BLGM1723,,
265,BLGM1446,,
266,BLGM-2503,,
267,blgm2155,,
268,BLGM1615,,
269,BLGM1711,,
270,BLGM-1866A,,
271,BLGM1695,,
272,BLGM1619,,
273,BLGM2541,,
274,BLGM1470,,
275,BLGM1025,,
276,BLGM1281,,
277,BLGM-1798,,
278,BLGM1467,,
279,BLGM1027,,
280,BLGM1346,,
281,BLGM1029,,
282,BLGM1030,,
283,BLGM1438,,
284,BLGM1033,,
285,BLGM1720A,,
286,BLGM-1897,,
287,BLGM1037,,
288,BLGM1280,,
289,BLGM1691,,
290,BLGM2159,,
291,BLGM2161,,
292,BLGM1486,,
293,BLGM-1883A,,
294,BLGM2513,,
295,BLGM1703,,
296,BLGM-1865B,,
297,BLGM-1951,,
298,BLGM2167,,
299,BLGM1043,,
300,BLGM-1952,,
301,BLGM-1925,,
302,BLGM2168,,
303,BLGM-1990,,
304,BLGM1456,,
305,BLGM1535,,
306,BLGM2169,,
307,BLGM1047,,
308,BLGM1731,,
309,blgm2172x,,
310,BLGM1048,,
311,BLGM1051,,
312,BLGM1462,,
313,BLGM1362,,
314,blgm2173,,
315,BLGM1455,,
316,BLGM1530,,
317,BLGM-1534A,,
318,BLGM1061,,
319,BLGM-2505,,
320,BLGM1062,,
321,BLGM2174,,
322,BLGM2176,,
323,BLGM-1778A,,
324,BLGM-1901,,
325,BLGM-1582,,
326,BLGM1527,,
327,BLGM1451,,
328,BLGM-2149,,
329,BLGM-1065A,,
330,BLGM-2154,,
331,BLGM-1946A,,
332,BLGM1563,,
333,BLGM1396,,
334,BLGM-2508,,
335,BLGM1498,,
336,BLGM-1790,,
337,BLGM1721,,
338,BLGM1489,,
339,BLGM1605,,
340,BLGM1417,,
341,BLGM1071,,
342,BLGM1425,,
343,BLGM1692,,
344,BLGM-1885A,,
345,BLGM1368,,
346,BLGM1449,,
347,BLGM2187B,,
348,BLGM1671,,
349,BLGM1650,,
350,blgm2190,,
351,BLGM2191,,
352,BLGM-1988,,
353,BLGM2044,,
354,BLGM1543,,
355,BLGM1641,,
356,BLGM1667,,
357,BLGM1693,,
358,BLGM1741,,
359,BLGM1415,,
360,BLGM2055,,
361,BLGM2194,,
362,BGLM1006,,
363,BLGM2124,,
364,BLGM1599,,
365,BLGM1078,,
366,BLGM-1912,,
367,BLGM-1441A,,
368,BLGM-2512,,
369,BLGM1082,,
370,BLGM1474,,
371,BLGM1383,,
372,BLGM1333,,
373,BLGM1740,,
374,BLGM-2514,,
375,BLGM1568,,
376,BLGM2196,,
377,BLGM1724,,
378,BLGM-2515,,
379,BLGM-2099,,
380,BLGM1559,,
381,blgm2197,,
382,BLGM1637,,
383,BLGM-2516,,
384,BLGM1085,,
385,BLGM1520,,
386,BLGM1086,,
387,BLGM1089,,
388,BLGM1293,,
389,BLGM1091,,
390,BLGM1554,,
391,BLGM1676,,
392,BLGM1374,,
393,BLGM2384,,
394,BLGM1715,,
395,BLGM-1920,,
396,BLGM2022,,
397,BLGM1464,,
398,BLGM-2120,,
399,BLGM-1862,,
400,BLGM1735,,
401,BLGM2202,,
402,BLGM1279,,
403,BLGM1092,,
404,BLGM1094,,
405,BLGM1432,,
406,BLGM2224,,
407,BLGM1562,,
408,BLGM1096,,
409,BLGM1098,,
410,BLGM2203,,
411,BLGM1645,,
412,BLGM-1850,,
413,BLGM1604,,
414,BLGM-2108,,
415,BLGM1579,,
416,BLGM-2520A,,
417,blgm2205,,
418,blgm2404,,
419,BLGM1633,,
420,BLGM1477,,
421,BLGM2208,,
422,BLGM1632,,
423,BLGM1100,,
424,BLGM1382,,
425,BLGM1361,,
426,BLGM-1781,,
427,BLGM1727,,
428,BLGM1461,,
429,BLGM1306,,
430,BGLM1018,,
431,BLGM1386,,
432,BLGM2210,,
433,BGLM1020,,
434,BLGM2213,,
435,BLGM1636,,
436,BLGM1558,,
437,BLGM-2085,,
438,BLGM1411,,
439,blgm2215,,
440,BLGM-1969,,
441,BLGM1107,,
442,BLGM1312A,,
443,BLGM1465,,
444,BLGM1442,,
445,BLGM2018,,
446,BLGM1672,,
447,BLGM1478,,
448,BLGM1694,,
449,BLGM1742,,
450,BLGM1108,,
451,BLGM-1993,,
452,BLGM2218,,
453,BLGM1347,,
454,blgm2219,,
455,blgm2220,,
456,BLGM2223,,
457,BLGM1111,,
458,BLGM1307,,
459,BLGM1367,,
460,BLGM-1751,,
461,BLGM1630,,
462,BLGM-1903A,,
463,BLGM1426,,
464,BLGM1618,,
465,BLGM1112,,
466,BLGM-2067,,
467,BLGM1285,,
468,BLGM1302,,
469,BLGM-1655A,,
470,BLGM1523,,
471,BLGM-2063,,
472,BLGM1659,,
473,BLGM2229,,
474,BLGM1408,,
475,BLGM1115,,
476,BLGM1674,,
477,BLGM2013,,
478,BGLM1007,,
479,BLGM1564,,
480,blgm2232,,
481,BLGM2233,,
482,BLGM2235,,
483,BLGM1450,,
484,BLGM1680,,
485,BLGM1277,,
486,BLGM1329,,
487,BLGM1539,,
488,BLGM-2501,,
489,BLGM1181,,
490,BLGM-1955,,
491,BLGM1118,,
492,blgm2238,,
493,BLGLM1017,,
494,BLGM1336,,
495,BLGM-1040,,
496,BLGM1291,,
497,BLGM1385,,
498,BLGM2239,,
499,BLGM1643,,
500,BLGM-1906,,
501,BLGM1121,,
502,BLGM1297,,
503,BLGM-1939,,
504,BGLM1009,,
505,BLGM-2526,,
506,BLGM-1886,,
507,BLGM-1758,,
508,BLGM1377,,
509,BLGM1122,,
510,BLGM1472,,
511,BLGM1532,,
512,BLGM1272,,
513,BLGM1125,,
514,BLGM-2248,,
515,BLGM1010,,
516,BLGM-1908A,,
517,BLGM1447,,
518,BLGM1126,,
519,BLGM2250,,
520,BLGM1424,,
521,BLGM1444,,
522,BLGM1699,,
523,blgm2252,,
524,BLGM1127,,
525,BLGM-1482,,
526,BLGM1628,,
527,BLGM1131,,
528,blgm2254,,
529,BLGM-2125,,
530,BLGM1133,,
531,BLGM1217,,
532,BLGM-1857,,
533,BLGM-2066,,
534,BLGM1709,,
535,BLGM1960,,
536,BLGM1593,,
537,BLGM-2073,,
538,BGLM1011,,
539,BLGM1332,,
540,BLGM1547,,
541,BLGM1685,,
542,BLGM1135,,
543,BLGM-1978A,,
544,BLGM1494,,
545,BLGM1139,,
546,BLGM2534,,
547,BLGM1718,,
548,BLGM2260,,
549,BLGM1657,,
550,BLGM1540,,
551,BLGM1140,,
552,BLGM-1823,,
553,BLGM-2261,,
554,BLGM1651,,
555,BLGM1583,,
556,BLGM-1900,,
557,BLGM-1887,,
558,BLGM1514,,
559,BLGM1566,,
560,BLGM1611,,
561,BLGM2535,,
562,BLGM1531,,
563,BLGM2263,,
564,BLGM-2265,,
565,BLGM2266,,
566,BLGM-1497,,
567,BLGM-1779,,
568,BLGM1722,,
569,BLGM1476,,
570,BLGM1561,,
571,BLGM-1820A,,
572,BLGM1490,,
573,BLGM1616,,
574,BLGM1141,,
575,BLGM2270,,
576,BLGM1145,,
577,BLGM-2003,,
578,BLGM-1826,,
579,BLGM1313,,
580,BLGM2271,,
581,BLGM1696,,
582,BLGM1507,,
583,BLGM2273,,
584,BLGM1151,,
585,BLGM2275,,
586,BLGM1629,,
587,BLGM1712,,
588,BLGM-2278,,
589,BLGM1153,,
590,BLGM1154,,
591,BLGM2279,,
592,BLGM1594,,
593,BLGM2280mark,,
594,BLGM-2126,,
595,BLGM-1991A,,
596,BLGM-2282,,
597,BLGM2283mark,,
598,BLGM2286,,
599,BLGM1350,,
600,BLGM1182,,
601,BLGM2287,,
602,BLGM1710,,
