,train,val,test
0,blgm6152x,blgm6116,blgm6307
1,blgm6305,blgm6180,blgm6288
2,blgm6153,BLGM3125,blgm6235
3,blgm6251,BLGM3058,BLGM3142
4,blgm6208,BLGM3113,BLGM3051
5,blgm6123,BLGM3054,BLGM3052
6,blgm6176,BLGM3025,BLGM3158
7,blgm6177,BLGM3091,BLGM3090
8,blgm6125,BLGM3044,BGLM3105
9,blgm6204,BGLM3111,BLGM4011
10,blgm6232,BLGM-4113,BLGM-4110-1
11,blgm6179,blgm4048xx,BLGM-4111
12,blgm6122,BLGM-4163,BLGM-4114
13,blgm6027,BLGM-4184,BLGM4146
14,blgm6315,BLGM-4223-1,BLGM4173-1
15,blgm6207,BLGM5032,BLGM-4191
16,blgm6114,BLGM5052,BLGM-4204
17,blgm6237,BLGM-1866A,BLGM-4207
18,BLGM6111,BLGM1030,BLGM5077-3
19,blgm6310,BLGM1567,BLGM5030
20,blgm6316,blgm2173,BLGM5044-3
21,blgm6361,BLGM1451,BLGM1615
22,BLGM3119,BLGM1563,BLGM1438
23,BLGM3124,BLGM1721,BLGM1703
24,BLGM3131,BLGM1071,BLGM-1990
25,BLGM3134,BLGM2187B,BLGM1058
26,BLGM3138,BLGM1577,BLGM2174
27,BLGM3060,BLGM-2151,BLGM2176
28,BLGM3061,BLGM2196,BLGM2193
29,BLGM3045,BLGM1464,BLGM1693
30,BLGM3046,BLGM1475,BLGM1568
31,BLGM3047,BLGM1107,BLGM1554
32,BLGM3048,BLGM1465,BLGM1715
33,BLGM3049,BLGM1108,BLGM-1920
34,BLGM3063,BLGM1112,BLGM1422
35,BLGM3148,blgm2232,BLGM-1850
36,BLGM3064,BLGM1181,blgm2205
37,BLGM3065,BLGM-1886,BLGM-1781
38,BGLM3114,BLGM-1758,BLGM1434
39,BLGM3056,BLGM1126,BGLM1020
40,BLGM3067,BLGM1127,BLGM-1756
41,BLGM3069,BLGM-1870,BLGM-1903A
42,BLGM3008,BLGM-2265,BLGM1408
43,BLGM3070,BLGM1353,BLGM1118
44,BLGM3074,BLGM1433,BLGM1122
45,BLGM3013,BLGM2536,BLGM1272
46,BLGM3076,BLGM1165,BLGM1628
47,BLGM3170,BLGM-1533A,BLGM1278
48,BLGM3010,blgm2309,BLGM1217
49,BLGM3015,BLGM1178,BLGM-1857
50,BLGM3016,BLGM1729,BLGM2258
51,BLGM3080,BLGM1180,BLGM-1823
52,BLGM3167,BLGM1526,BLGM1583
53,BGLM3116,BLGM1185,BLGM1313
54,BLGM3018,BLGM-2144,BLGM2273
55,BLGM3081,BLGM1443,BLGM2275
56,BLGM3082,BLGM2319,BLGM1483
57,BLGM3019,BLGM1188,BLGM1704
58,BLGM3084,BLGM1453,BLGM1160
59,BLGM3020,BLGM-1192B,BLGM1642
60,BLGM3085,BLGM-2136C,BLGM1248
61,BLGM3022,BLGM2331,BLGM1481
62,BLGM3087,BLGM-2551,BLGM1714
63,BLGM3092,BLGM1705,BLGM1542
64,BLGM3003,BLGM1510,BLGM2317mark
65,BLGM3005,BLGM-1854,BLGM1207
66,BLGM3006,BLGM2026,BLGM-1972
67,BLGM3028,BLGM2374,BLGM-1863
68,BLGM3095,BLGM2054,BLGM2338mark
69,BLGM3096,BLGM1363,BLGM1662A
70,BLGM3097,BLGM1473,BLGM2352
71,BLGM3032,BLGM1608,BLGM2019
72,BLGM3172,BLGM1237,BLGM1688
73,BLGM3033,blgm2414,BLGM2380
74,BGLM3115,BLGM2421,blgm2383
75,BLGM3034,BLGM1299,BLGM1492
76,BLGM3035,BLGM34 ,BLGM-2007
77,BLGM3099,BLGM48 ,BLGM1469
78,BGLM3101,BLGM15,BLGM1320
79,BLGM3104,BLGM38 ,BLGM1631
80,BGLM3107,BLGM117 ,BLGM1496
81,BLGM3040,BLGM116 ,BLGM1706
82,BGLM3109,BLGM198 ,BLGM1331
83,BLGM4001,BLGM137 ,BLGM-2429
84,BLGM4003,BLGM61 ,BLGM-1800
85,BLGM4005,BLGM304 ,BLGM160 
86,BLGM4007,BLGM269 ,BLGM37 
87,BLGM4010,BLGM193 ,BLGM207 
88,BLGM4012,BLGM168 ,BLGM156 
89,BLGM4013,BLGM189 ,BLGM191 
90,BLGM4014,BLGM242 ,BLGM250 
91,BLGM4015,BLGM284 ,BLGM293 
92,BLGM4016,BLGM155 ,BLGM224 
93,BLGM4017,BLGM288 ,BLGM84 
94,BLGM4018,blgm6009-1,BLGM96 
95,BLGM4021,blgm6092,BLGM208 
96,BLGM4022,blgm6085,BLGM234 
97,BLGM4023,blgm6366,BLGM140 
98,blgm4025xx,blgm6099,BLGM150 
99,blgm4027xx,blgm6016,BLGM257 
100,blgm4028xx,blgm6395,BLGM239 
101,blgm4029xx,blgm6326,BLGM194 
102,blgm4030xx,BLGM6334,blgm6048
103,blgm4032xx,blgm6312,blgm6202
104,blgm4033xx,blgm6328b,blgm6061
105,blgm4034xx,blgm6379,blgm6458
106,blgm4037xx,blgm6350,blgm6186
107,blgm4038xx,blgm6285,BLGM6277
108,blgm4039xx,blgm6344,blgm6382
109,blgm4040xx,,
110,blgm4041xx,,
111,blgm4045xx,,
112,blgm4049xx,,
113,blgm4050xx,,
114,blgm4051xx,,
115,blgm4052xx,,
116,blgm4053xx,,
117,blgm4054xx,,
118,BLGM4116-1a,,
119,blgm4057xx,,
120,blgm4058xx,,
121,BLGM-4122,,
122,BLGM-4123,,
123,blgm4061xx,,
124,BLGM-4127,,
125,BLGM4130,,
126,BLGM-4131,,
127,BLGM4136,,
128,BLGM-4137,,
129,BLGM4140-1,,
130,BLGM4141,,
131,BLGM-4143,,
132,BLGM-4149,,
133,BLGM-4161,,
134,BLGM-4162,,
135,BLGM4164-3,,
136,BLGM-4171,,
137,BLGM-4179,,
138,blgm4063XX,,
139,blgm4064XX,,
140,BLGM-4189,,
141,BLGM-4193,,
142,BLGM-4196,,
